Counter1,Expression1,Random1,Sawtooth1,Sinusoid1,Square1,Triangle1
38,-1.732050812359696,0.22128590382104862,-2.0,-1.7320508123596958,2.0,-1.333333339433193
39,-1.0862896734083787,0.12883796194035335,-1.600000023841858,-1.4862896495665208,2.0,-1.0666666653458503
40,-0.3755706376023049,0.4061817726812781,-1.2000000476837158,-1.175570589918589,-2.0,-0.8000000671494983
42,1.1841765618364077,0.57387803068512,-0.3999999761581421,-0.4158234620054502,-2.0,-0.26666671897481287
43,1.9999999294909268,0.4814300888044247,0.0,-7.050907325337085e-08,-2.0,-4.4887470164410076e-08
44,2.8158233002270308,0.7587738995453495,0.3999999761581421,0.41582332406888867,2.0,0.26666662919987255
45,3.6134731953518897,0.6720591761846112,0.7999999523162842,0.8134732430356055,2.0,0.5333333032872153
46,4.375570523516229,0.23395573197807162,1.2000000476837158,1.1755704758325134,2.0,0.799999977374558
47,5.086289658815405,0.14150779009737624,1.600000023841858,1.4862896349735468,2.0,1.0666666514619005
48,1.7320508014552674,0.418851600838301,-2.0,1.7320508014552674,-2.0,1.3333333255492434
49,2.3021130085720474,0.3321368774775627,-1.600000023841858,1.902113032413905,-2.0,1.5999999996365861
50,2.7890437317508168,0.6094806882184874,-1.2000000476837158,1.9890437794345324,-2.0,1.8666665978329375
51,3.1890438485038493,0.5170327463377922,-0.7999999523162842,1.9890438008201332,2.0,1.8666667280797196
52,3.502113082640212,0.8631750303065892,-0.3999999761581421,1.9021130587983541,2.0,1.6000000539923767
53,3.732050844146204,0.7764602920446896,0.0,1.7320508441462041,2.0,1.3333333799050338
54,3.8862896682633146,0.586103514437887,0.3999999761581421,1.4862896921051727,2.0,1.066666705817691
55,3.975570497224186,0.4936555874583529,0.7999999523162842,1.175570544907902,2.0,0.8000000317303485
56,4.013473368719547,0.7709993981992777,1.2000000476837158,0.8134733210358307,-2.0,0.5333333576430058
57,4.015823431426824,0.6613518305610337,1.600000023841858,0.415823407584966,-2.0,0.26666668355566303
58,1.4872802767129656e-08,0.9386956562031196,-2.0,1.4872802796702395e-08,-2.0,9.468320330904606e-09
59,-0.01582340233123114,0.8462477292235855,-1.600000023841858,-0.4158233784893733,-2.0,-0.2666666646190224
60,-0.013473232642477573,0.12359153996451022,-1.2000000476837158,-0.8134731849587618,2.0,-0.5333332628153743
61,0.024429623282856472,0.03687678680144957,-0.7999999523162842,-1.1755704244008593,2.0,-0.7999999369027171
62,0.11371043140696524,0.8235871947194637,-0.3999999761581421,-1.4862895924348927,2.0,-1.0666666109900595
63,0.2679492303312434,0.7311392677399295,0.0,-1.7320507696687566,-2.0,-1.3333332850774027
64,0.49788696338938143,0.008483078480854278,0.3999999761581421,-1.9021130127687607,-2.0,-1.5999999591647451
65,0.8109561670661756,0.9217683402189548,0.7999999523162842,-1.9890437852501086,-2.0,-1.8666666332520883
66,1.2109562526791546,0.19911215095987955,1.2000000476837158,-1.9890437950045612,-2.0,-1.8666666926605693
67,1.6978869822360554,0.10666422398034547,1.600000023841858,-1.9021130416058025,-2.0,-1.600000018573227
68,-1.7320508163280701,0.36107522024608685,-2.0,-1.7320508163280701,2.0,-1.3333333444858841
69,-1.0862896787191003,0.2743604819841874,-1.600000023841858,-1.4862896548772422,2.0,-1.0666666703985415
69,-1.0862896787191003,0.2743604819841874,-1.600000023841858,-1.4862896548772422,2.0,-1.0666666703985415
69,-1.0862896787191003,0.2743604819841874,-1.600000023841858,-1.4862896548772422,2.0,-1.0666666703985415
69,-1.0862896787191003,0.2743604819841874,-1.600000023841858,-1.4862896548772422,2.0,-1.0666666703985415
69,-1.0862896787191003,0.2743604819841874,-1.600000023841858,-1.4862896548772422,2.0,-1.0666666703985415
69,-1.0862896787191003,0.2743604819841874,-1.600000023841858,-1.4862896548772422,2.0,-1.0666666703985415
69,-1.0862896787191003,0.2743604819841874,-1.600000023841858,-1.4862896548772422,2.0,-1.0666666703985415
69,-1.0862896787191003,0.2743604819841874,-1.600000023841858,-1.4862896548772422,2.0,-1.0666666703985415
69,-1.0862896787191003,0.2743604819841874,-1.600000023841858,-1.4862896548772422,2.0,-1.0666666703985415
69,-1.0862896787191003,0.2743604819841874,-1.600000023841858,-1.4862896548772422,2.0,-1.0666666703985415
70,-0.3755706440232691,0.0840037043773848,-1.2000000476837158,-1.1755705963395533,2.0,-0.8000000722021894
70,-0.3755706440232691,0.0840037043773848,-1.2000000476837158,-1.1755705963395533,2.0,-0.8000000722021894
70,-0.3755706440232691,0.0840037043773848,-1.2000000476837158,-1.1755705963395533,2.0,-0.8000000722021894
70,-0.3755706440232691,0.0840037043773848,-1.2000000476837158,-1.1755705963395533,2.0,-0.8000000722021894
70,-0.3755706440232691,0.0840037043773848,-1.2000000476837158,-1.1755705963395533,2.0,-0.8000000722021894
70,-0.3755706440232691,0.0840037043773848,-1.2000000476837158,-1.1755705963395533,2.0,-0.8000000722021894
85,3.9755705036451507,0.8639919596267407,0.7999999523162842,1.1755705513288663,2.0,0.8000000367830395
85,3.9755705036451507,0.8639919596267407,0.7999999523162842,1.1755705513288663,2.0,0.8000000367830395
86,4.013473375970127,0.7744106344566045,1.2000000476837158,0.8134733282864113,2.0,0.5333333626956969
86,4.013473375970127,0.7744106344566045,1.2000000476837158,0.8134733282864113,2.0,0.5333333626956969
86,4.013473375970127,0.7744106344566045,1.2000000476837158,0.8134733282864113,2.0,0.5333333626956969
86,4.013473375970127,0.7744106344566045,1.2000000476837158,0.8134733282864113,2.0,0.5333333626956969
86,4.013473375970127,0.7744106344566045,1.2000000476837158,0.8134733282864113,2.0,0.5333333626956969
90,-0.013473334295003081,0.6593021878741098,-1.2000000476837158,-0.8134732866112873,-2.0,-0.533333333653674
90,-0.013473334295003081,0.6593021878741098,-1.2000000476837158,-0.8134732866112873,-2.0,-0.533333333653674
90,-0.013473334295003081,0.6593021878741098,-1.2000000476837158,-0.8134732866112873,-2.0,-0.533333333653674
90,-0.013473334295003081,0.6593021878741098,-1.2000000476837158,-0.8134732866112873,-2.0,-0.533333333653674
94,0.4978869658419718,0.10362558754007545,0.3999999761581421,-1.9021130103161703,2.0,-1.599999954112054
94,0.4978869658419718,0.10362558754007545,0.3999999761581421,-1.9021130103161703,2.0,-1.599999954112054
98,-1.7320508202964442,0.011449970333925252,-2.0,-1.7320508202964442,-2.0,-1.333333349538575
98,-1.7320508202964442,0.011449970333925252,-2.0,-1.7320508202964442,-2.0,-1.333333349538575
100,-0.3755705540018943,0.17341300981781016,-1.2000000476837158,-1.1755705063181785,2.0,-0.8000000013638897
100,-0.3755705540018943,0.17341300981781016,-1.2000000476837158,-1.1755705063181785,2.0,-0.8000000013638897
0,0.38652666132046276,0.453623437269294,-0.7999999523162842,-0.8134733863632531,2.0,-0.5333334031675379
0,0.38652666132046276,0.453623437269294,-0.7999999523162842,-0.8134733863632531,2.0,-0.5333334031675379
